"Moldova, Republic of",MDA,10.5,11.8,12.4
Madagascar,MDG,22.4,21.4,-4.5
Maldives,MDV,2.7,2.7,0
Mexico,MEX,35.2,33.8,-4
"Marshall Islands",MHL,52.2,52.2,0
"Macedonia, the former Yugoslav Republic of",MKD,37.7,39.7,5.3
Mali,MLI,10.9,10.9,0
Malta,MLT,1.1,1.4,27.3
Burma,MMR,53.4,43.7,-18.2
Montenegro,MNE,46.5,61.5,32.3
Mongolia,MNG,9.2,9.1,-1.1
"Northern Mariana Islands",MNP,69.5,53,-23.7
Mozambique,MOZ,52.4,46.7,-10.9
Mauritania,MRT,0.4,0.3,-25
Montserrat,MSR,25,25,0
Martinique,MTQ,46,49.3,7.2
Mauritius,MUS,20.7,19.1,-7.7
Malawi,MWI,32.7,23.8,-27.2
Malaysia,MYS,59.9,58.2,-2.8
Mayotte,MYT,41.9,37.1,-11.5
Namibia,NAM,9.8,8.1,-17.3
"New Caledonia",NCL,45.8,45.8,0
Niger,NER,1,0.9,-10
"Norfolk Island",NFK,12.2,12.2,0
Nigeria,NGA,27.3,23.7,-13.2
Nicaragua,NIC,44.9,28.3,-37
Niue,NIU,72.4,72.6,0.3
Netherlands,NLD,10.6,11,3.8
Norway,NOR,39.8,40.1,0.8
Nepal,NPL,41.7,41.6,-0.2
"New Zealand",NZL,37.4,37.6,0.5
Pakistan,PAK,5.9,4.8,-18.6
Panama,PAN,59.8,56.8,-5
Pitcairn,PCN,74.5,74.5,0
Peru,PER,58.8,56.5,-3.9
Philippines,PHL,24.5,24.1,-1.6
Palau,PLW,86,90,4.7
"Papua New Guinea",PNG,80.1,79.2,-1.1
Poland,POL,29.6,31,4.7
"Puerto Rico",PRI,48.4,56,15.7
"Korea, Democratic People's Republic of",PRK,53.6,50.1,-6.5
Portugal,PRT,35.9,36.2,0.8
Paraguay,PRY,57.9,40.5,-30.1
"Palestinian Territory, Occupied",PSE,1.5,1.7,13.3
"French Polynesia",PYF,42.8,43.1,0.7
