country_code,1960,1970,1980,1990,2000,2010,2020
GTM,4128880,5455197,6890346,9050115,11589761,14259687,16858333
GUM,72374,88300,110286,138263,160188,164905,169231
GUY,571990,705261,778176,747116,759051,747932,797202
HIC,907912413,1012186875,1105492737,1184203705,1256926406,1330723736,1393950970
HKG,3114671,3959000,5063100,5704500,6665000,7024200,7481000
HND,2078617,2782753,3777990,5053234,6656725,8450933,10121763
HPC,163453961,210973069,276049311,358121820,475127894,630953183,838066650
HRV,4140181,4412252,4599782,4777368,4468302,4295427,4047680
HTI,3901139,4680812,5646676,6925331,8360225,9842880,11306801
HUN,9983967,10337910,10711122,10373988,10210971,10000023,9750149
IBD,1904142765,2356892546,2877115899,3453648037,3979356320,4424528755,4866828116
IBT,2298247983,2866639928,3538125231,4320048688,5094293697,5838903143,6628629499
IDA,394105218,509747382,661009332,866400651,1114937377,1414374388,1761801383
IDB,120817228,156188262,208958276,285458430,372181624,474626536,584212703
IDN,88382881,115228394,148177096,182159874,214072421,244016173,271857970
IDX,273287990,353559120,452051056,580942221,742755753,939747852,1177588680
IMN,48793,55298,64022,68865,75562,83828,84046
IND,445954579,557501301,696828385,870452165,1059633675,1240613620,1396387127
IRL,2828600,2957250,3412800,3513974,3805174,4560155,4985382
IRN,21388806,28449705,38520664,55793629,65544383,75373855,87290193
IRQ,7084678,9811347,13653369,17658381,24628858,31264875,42556984
ISL,175574,204438,228138,254826,281205,318041,366463
ISR,2114020,2974000,3878000,4660000,6289000,7623600,9215100
ITA,50199700,53821850,56433883,56719240,56942108,59277417,59438851
JAM,1642331,1859091,2135546,2392030,2612205,2733896,2820436
JOR,847936,1557374,2216903,3480587,5056174,6931258,10928721
JPN,93216000,103403000,116807000,123478000,126843000,128070000,126261000
KAZ,9319283,12265305,14172710,16348000,14883626,16321872,18755666
KEN,7751435,11473087,16187124,23162269,30851606,41517895,51985780
KGZ,2172300,2959900,3617400,4391200,4898400,5447900,6579900
KHM,5541676,6708525,6198959,8910808,12118841,14363532,16396860
KIR,47093,57437,60813,75124,88826,107995,126463
KNA,56660,44968,43097,40636,45461,47403,47642
KOR,25012374,32240827,38123775,42869283,47008111,49554112,51836239
KWT,305415,802786,1493870,1674938,1934901,2943356,4360444
LAC,194711112,255049279,323797061,396328556,468125382,528978305,588011178
LAO,2122532,2675283,3297519,4314443,5430853,6323418,7319399
LBN,1798092,2381791,2963702,3593700,4320642,4995800,5662923
LBR,1137026,1463563,1932169,2209731,2895224,4019956,5087584
LBY,1426986,1909177,2962720,4236983,5154790,6491988,6653942
LCA,91614,103090,121633,142301,159500,170935,179237
LCN,219142626,285779012,361451180,441597528,521281149,588873862,650533026
LDC,243747624,313150585,398831237,513410293,661430964,842807198,1072970944
LIC,135762574,174131565,225097677,288759638,382593480,510897321,667053670
LIE,16472,21089,25003,28765,33026,35926,38756
LKA,9783871,12388769,14943645,17204094,18776371,20668557,21919000
LMC,829304553,1053935945,1337497873,1711089696,2114855470,2525974118,2943860780
LMY,2115448034,2666686848,3321713494,4089544168,4863090613,5610455957,6398830423
LSO,737838,1023481,1407672,1798997,1998630,2022747,2254100
LTE,1095548725,1336152939,1593099029,1847821461,2046026051,2182659481,2318233156
LTU,2778550,3139689,3413202,3697838,3499536,3097282,2794885
LUX,313970,339171,364150,381850,436300,506953,630419
LVA,2120979,2359164,2511701,2663151,2367550,2097555,1900449
MAC,177014,247284,245332,350227,431896,557297,676283
MAF,4135,5802,7776,28127,29610,36458,32553
MAR,11769774,15274351,19678444,24570814,28554415,32464865,36688772
MCO,21797,24270,27076,30329,32465,33178,36922
MDA,2074015,2456514,2716068,2965978,2924668,2862354,2635130
MDG,5073342,6639751,8948162,11882762,16216431,21731053,28225177
MDV,91650,123243,164887,224957,282507,361575,514438
MEA,104958259,137811201,186021685,256203998,321037453,397997557,479966649
MEX,36268055,50289306,67705186,81720428,97873442,112532401,125998302
MHL,15374,23969,31988,46047,54224,53416,43413
MIC,1979685460,2492555283,3096615817,3800784530,4480497133,5099558636,5731776753
MKD,1462368,1656783,1907023,2044174,2026350,1946298,1856124
MLI,5346792,6153587,7372581,8945026,11239101,15529181,21224040
MLT,326550,302650,316645,354170,390087,414508,515332
MMR,21720697,27284112,33465781,40099553,45538332,49390988,53423198
MNA,97179656,126316235,167489905,228846359,283899110,343313330,411810124
MNE,480579,512407,572608,606372,604950,619428,621306
MNG,977903,1293880,1697780,2161433,2450979,2702520,3294335
MNP,8702,10143,17613,48002,80338,54087,49587
MOZ,6788375,8411676,11413587,13303459,17768505,23073723,31178239
MRT,838478,1122198,1506694,2006027,2695003,3419461,4498604
MUS,676683,826000,966039,1058775,1186873,1250400,1266014
MWI,3621081,4625141,6267369,9539665,11229387,14718422,19377061
MYS,7833782,10306508,13215707,17517054,22945150,28717731,33199993
NAC,198624756,226431000,251795337,277373464,312909974,343398169,369619464
NAM,590181,754467,975994,1369011,1819141,2099271,2489098
