"Country Name","Country code",1960,1970,1980,1990,2000,2010,2020
India,IND,445954579,557501301,696828385,870452165,1059633675,1240613620,1396387127
Ireland,IRL,2828600,2957250,3412800,3513974,3805174,4560155,4985382
"Iran, Islamic Republic of",IRN,21388806,28449705,38520664,55793629,65544383,75373855,87290193
Iraq,IRQ,7084678,9811347,13653369,17658381,24628858,31264875,42556984
Iceland,ISL,175574,204438,228138,254826,281205,318041,366463
Israel,ISR,2114020,2974000,3878000,4660000,6289000,7623600,9215100
Italy,ITA,50199700,53821850,56433883,56719240,56942108,59277417,59438851
Jamaica,JAM,1642331,1859091,2135546,2392030,2612205,2733896,2820436
Jordan,JOR,847936,1557374,2216903,3480587,5056174,6931258,10928721
Japan,JPN,93216000,103403000,116807000,123478000,126843000,128070000,126261000
Kazakhstan,KAZ,9319283,12265305,14172710,16348000,14883626,16321872,18755666
Kenya,KEN,7751435,11473087,16187124,23162269,30851606,41517895,51985780
Kyrgyzstan,KGZ,2172300,2959900,3617400,4391200,4898400,5447900,6579900
Cambodia,KHM,5541676,6708525,6198959,8910808,12118841,14363532,16396860
Kiribati,KIR,47093,57437,60813,75124,88826,107995,126463
"Saint Kitts and Nevis",KNA,56660,44968,43097,40636,45461,47403,47642
"Korea, Republic of",KOR,25012374,32240827,38123775,42869283,47008111,49554112,51836239
Kuwait,KWT,305415,802786,1493870,1674938,1934901,2943356,4360444
"Lao People's Democratic Republic",LAO,2122532,2675283,3297519,4314443,5430853,6323418,7319399
Lebanon,LBN,1798092,2381791,2963702,3593700,4320642,4995800,5662923
Liberia,LBR,1137026,1463563,1932169,2209731,2895224,4019956,5087584
Libya,LBY,1426986,1909177,2962720,4236983,5154790,6491988,6653942
"Saint Lucia",LCA,91614,103090,121633,142301,159500,170935,179237
Liechtenstein,LIE,16472,21089,25003,28765,33026,35926,38756
"Sri Lanka",LKA,9783871,12388769,14943645,17204094,18776371,20668557,21919000
Lesotho,LSO,737838,1023481,1407672,1798997,1998630,2022747,2254100
Lithuania,LTU,2778550,3139689,3413202,3697838,3499536,3097282,2794885
Luxembourg,LUX,313970,339171,364150,381850,436300,506953,630419
Latvia,LVA,2120979,2359164,2511701,2663151,2367550,2097555,1900449
