Egypt,43.81,59.21,65.64,48.42,44.98,44.98,44.98,44.98,44.98
El Salvador,718.88,673.88,628.88,606.38,601.88,597.38,592.88,588.38,583.88
Equatorial Guinea,2699.15,2615.58,2532.01,2490.22,2481.86,2473.5,2465.14,2456.78,2448.42
Eritrea,1150.06,1118.46,1086.86,1071.06,1067.9,1064.74,1061.58,1058.42,1055.26
Estonia,2205.9,2238.89,2336.02,2421.01,2421.25,2438.4,2438.4,2438.4,2438.4
Eswatini,461.14,473.28,485.43,491.5,492.72,493.93,495.14,496.35,497.56
Ethiopia,19258.5,18528.5,17798.5,17433.5,17360.5,17287.5,17214.5,17141.5,17068.5
Falkland Islands (Malvinas) (Desk study),0,0,0,0,0,0,0,0,0
Faroe Islands,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Fiji,939.69,1006.47,1073.24,1106.62,1113.3,1119.98,1126.66,1133.34,1140.02
Finland,21875.33,22445.64,22242,22409,22409,22409,22409,22409,22409
France,14436,15288,16419,16836,16919.4,17002.8,17086.2,17169.6,17253
French Guyana,8125,8079.44,8036.5,8020,8016.57,8013.14,8009.71,8006.28,8002.85
French Polynesia (Desk study),144.43,148.55,149.46,149.46,149.46,149.46,149.46,149.46,149.46
Gabon,23761.62,23700,23649.41,23590,23578.12,23566.24,23554.36,23542.48,23530.6
Gambia,414.66,357.33,300,271.34,265.6,259.87,254.14,248.4,242.67
Georgia,2752.3,2760.6,2822.4,2822.4,2822.4,2822.4,2822.4,2822.4,2822.4
Germany,11300,11354,11409,11419,11419,11419,11419,11419,11419
Ghana,9924.26,8848.61,7942.93,7880.44,7922.24,7964.04,7971.26,7978.48,7985.71
Gibraltar (Desk study),0,0,0,0,0,0,0,0,0
Greece,3298.55,3600.23,3901.8,3901.8,3901.8,3901.8,3901.8,3901.8,3901.8
Greenland,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
Grenada,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7
Guadeloupe,73.17,72.27,71.55,72.22,72.16,72.1,72.04,71.98,71.92
Guam,24,24,24,25,28,28,28,28,28
Guatemala,4781.2,4209.2,3722.6,3585.8,3574.2,3562.6,3551,3539.4,3527.8
Guernsey (Desk study),0.23,0.23,0.42,0.42,0.42,0.42,0.42,0.42,0.42
Guinea,7276,6929,6569,6389,6349,6309,6269,6229,6189
Guinea-Bissau (Desk study),2233.33,2148.88,2064.43,2022.21,2013.77,2005.33,1996.89,1988.45,1980.01
Guyana,18602.15,18564.22,18519.81,18461.36,18452.16,18442.95,18433.75,18424.54,18415.34
Haiti,382.92,380.65,378.38,362.85,359.74,356.63,353.52,350.41,347.3
Holy See (Desk study),0,0,0,0,0,0,0,0,0
Honduras,6987.78,6778.27,6575.47,6463.83,6443.05,6422.11,6401.16,6380.21,6359.26
Hungary,1813.9,1921.17,2046.39,2060.82,2058.73,2057.27,2055.92,2054.47,2053.01
Iceland,17.07,29.83,44.67,48.16,48.66,49.38,50.04,50.69,51.35
India,63938,67591,69496,70828,71094.4,71360.8,71627.2,71893.6,72160
Indonesia,118545,101280,99659.2,95027.9,95271.8,93949.8,93344.27,92738.73,92133.2
Iran (Islamic Republic of),9076.06,9325.66,10691.98,10691.98,10702.08,10710.59,10727.03,10743.47,10751.87
Iraq,804,818,825,825,825,825,825,825,825
Ireland,461.64,630.36,720.38,754.67,762.35,770.02,774.02,778.02,782.02
Isle of Man (Desk study),3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46
Israel,132,153,154,165,140,140,140,140,140
Italy,7589.75,8369.25,9028.04,9297.08,9350.89,9404.7,9458.51,9512.32,9566.13
Jamaica,521.28,521,558.45,577.46,581.34,585.23,589.12,593,596.89
Japan,24950,24876,24966,24944,24940,24935,24935,24935,24935
Jersey (Desk study),0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Jordan,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5
Kazakhstan,3162.24,3156.93,3082.18,3308.46,3337.71,3366.96,3396.2,3425.44,3454.68
Kenya,3858.54,3961.19,3616.34,3522.41,3551.97,3581.53,3611.09,3611.09,3611.09
Kiribati (Desk study),1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
Kuwait (Desk study),3.45,4.85,6.25,6.25,6.25,6.25,6.25,6.25,6.25
Kyrgyzstan,1136.42,1180.9,1229.68,1251.81,1256.24,1260.66,1278.9,1297.14,1315.38
Lao People's Democratic Republic,17843,17425,16940.5,16768,16733.5,16699,16664.5,16630,16595.5
Latvia,3173,3241,3372.12,3391.44,3395.31,3399.18,3403.05,3406.92,3410.79
Lebanon,139.7,138.18,137.35,140.33,140.93,141.53,142.13,142.73,143.33
Lesotho,34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52
Liberia,8525.24,8222.64,7920.04,7768.74,7738.48,7708.22,7677.96,7647.7,7617.44
Libya (Desk study),217,217,217,217,217,217,217,217,217
Liechtenstein,6.5,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
Lithuania,1945,2020,2170,2187,2190,2196,2198,2200,2201
Luxembourg,85.8,86.7,88.7,88.7,88.7,88.7,88.7,88.7,88.7
Madagascar,13693.45,13030.67,12561.98,12495.89,12482.68,12469.46,12456.24,12443.03,12429.81
Malawi,3501.7,3081.7,2661.7,2451.7,2409.7,2367.7,2325.7,2283.7,2241.7
Malaysia,20618.5,19691.35,18947.65,19464.22,19314.64,19264.49,19214.34,19164.19,19114.04
Maldives,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
Mali,13296,13296,13296,13296,13296,13296,13296,13296,13296
Malta,0.35,0.35,0.35,0.35,0.38,0.42,0.46,0.46,0.46
Marshall Islands,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4
Martinique,47.84,48.74,50.29,51.29,51.49,51.69,51.89,52.09,52.29
Mauritania,476.04,421.64,367.24,340.04,334.6,329.2,323.7,318.3,312.8
Mauritius,41.07,41.93,38.39,38.3,38.29,38.65,38.69,38.73,38.77
Mayotte,19.1,15.67,14.41,14.14,14.09,14.04,13.99,13.94,13.89
Mexico,70591.65,68381.35,66943.31,66330.91,66203.15,66075.38,65947.61,65819.85,65692.08
Micronesia (Federated States of),63.58,63.86,64.13,64.27,64.3,64.33,64.36,64.39,64.42
Monaco (Desk study),0,0,0,0,0,0,0,0,0
Mongolia,14352,14263.9,14183.9,14178.33,14177.22,14176.11,14175,14173.89,14172.78
Montenegro,626,626,827,827,827,827,827,827,827
Montserrat (Desk study),3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Morocco,5485.29,5506.54,5674.57,5684.69,5699.79,5711.59,5721.59,5732.09,5742.49
Mozambique,43378,41188,38972.14,37940,37628.29,37406.6,37224.17,36966.11,36743.76
Myanmar,39218.48,34868.11,31441,29992.44,29702.73,29413.02,29123.31,28833.6,28543.89
Namibia,8769.17,8059.08,7348.99,6993.95,6922.94,6851.93,6780.92,6709.91,6638.9
Nauru (Desk study),0,0,0,0,0,0,0,0,0
Nepal,5672,5780.76,5962.03,5962.03,5962.03,5962.03,5962.03,5962.03,5962.03
Netherlands,345.33,359.5,373.48,364.83,365.76,366.7,367.63,368.57,369.5
New Caledonia (Desk study),831.13,837.85,839.02,838.52,838.42,838.32,838.22,838.12,838.02
New Zealand,9372.27,9850.44,9848.12,9846.61,9846.75,9850.85,9855.15,9865.52,9892.59
Nicaragua,6399.32,5399.32,4188.15,3907.53,3807.53,3707.53,3607.53,3507.53,3407.53
Niger,1945,1328.1,1203.9,1141.8,1129.38,1116.96,1104.54,1092.12,1079.7
Nigeria,26526.09,24893.04,23259.98,22443.45,22280.15,22116.85,21953.55,21790.25,21626.95
Niue,18.93,18.83,18.77,18.82,18.83,18.84,18.85,18.86,18.87
Norfolk Island (Desk study),0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
North Macedonia (Desk study),912,957.55,960.43,994.4,1001.67,1001.49,1001.49,1001.49,1001.49
Northern Mariana Islands,33.61,31.96,30.32,29.49,24.36,24.36,24.36,24.36,24.36
Norway,12132,12113,12102,12141,12148.8,12156.6,12164.4,12172.2,12180
