El Salvador,718.88,673.88,628.88,606.38,601.88,597.38,592.88,588.38,583.88,False
Equatorial Guinea,2699.15,2615.58,2532.01,2490.22,2481.86,2473.5,2465.14,2456.78,2448.42,False
Eritrea,1150.06,1118.46,1086.86,1071.06,1067.9,1064.74,1061.58,1058.42,1055.26,False
Estonia,2205.9,2238.89,2336.02,2421.01,2421.25,2438.4,2438.4,2438.4,2438.4,False
Ethiopia,19258.5,18528.5,17798.5,17433.5,17360.5,17287.5,17214.5,17141.5,17068.5,False
Falkland Islands (Malvinas),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Faroe Islands,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,False
Fiji,939.69,1006.47,1073.24,1106.62,1113.3,1119.98,1126.66,1133.34,1140.02,False
Finland,21875.33,22445.64,22242.0,22409.0,22409.0,22409.0,22409.0,22409.0,22409.0,False
France,14436.0,15288.0,16419.0,16836.0,16919.4,17002.8,17086.2,17169.6,17253.0,False
French Polynesia,144.43,148.55,149.46,149.46,149.46,149.46,149.46,149.46,149.46,True
Gabon,23761.62,23700.0,23649.41,23590.0,23578.12,23566.24,23554.36,23542.48,23530.6,False
Gambia,414.66,357.33,300.0,271.34,265.6,259.87,254.14,248.4,242.67,False
Georgia,2752.3,2760.6,2822.4,2822.4,2822.4,2822.4,2822.4,2822.4,2822.4,False
Germany,11300.0,11354.0,11409.0,11419.0,11419.0,11419.0,11419.0,11419.0,11419.0,False
Ghana,9924.26,8848.61,7942.93,7880.44,7922.24,7964.04,7971.26,7978.48,7985.71,False
Gibraltar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Greece,3298.55,3600.23,3901.8,3901.8,3901.8,3901.8,3901.8,3901.8,3901.8,False
Greenland,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,False
Grenada,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,False
Guadeloupe,73.17,72.27,71.55,72.22,72.16,72.1,72.04,71.98,71.92,False
Guam,24.0,24.0,24.0,25.0,28.0,28.0,28.0,28.0,28.0,False
Guatemala,4781.2,4209.2,3722.6,3585.8,3574.2,3562.6,3551.0,3539.4,3527.8,False
Guernsey,0.23,0.23,0.42,0.42,0.42,0.42,0.42,0.42,0.42,True
Guinea,7276.0,6929.0,6569.0,6389.0,6349.0,6309.0,6269.0,6229.0,6189.0,False
Guinea-Bissau,2233.33,2148.88,2064.43,2022.21,2013.77,2005.33,1996.89,1988.45,1980.01,True
Guyana,18602.15,18564.22,18519.81,18461.36,18452.16,18442.95,18433.75,18424.54,18415.34,False
Haiti,382.92,380.65,378.38,362.85,359.74,356.63,353.52,350.41,347.3,False
Honduras,6987.78,6778.27,6575.47,6463.83,6443.05,6422.11,6401.16,6380.21,6359.26,False
