"country","MostVisitedNumOfArrivals","MostVisitedDataYear","shareOfVisits"
"North Macedonia",118000,2020,0.011825512360366254
"Bahrain",1909000,2020,0.19131273810117946
"Trinidad and Tobago",141000,2020,0.014130485108573235
"Timor-Leste",74800,2019,0.0074961722419948805
"Estonia",1695000,2020,0.1698664699222102
"Cyprus",4117000,2019,0.41259012192904976
"Mauritius",316000,2020,0.03166832123623505
"Eswatini",345300,2020,0.034604656085037856
"Djibouti",63000,2013,0.006313621005958255
"Fiji",168000,2020,0.016836322682555343
"Comoros",7000,2020,0.0007015134451064727
"Guyana",86400,2020,0.008658680236742749
"Solomon Islands",4400,2020,0.00044095130835263994
"Bhutan",29800,2020,0.002986442952024698
"Macau",5897000,2020,0.5909749693989813
"Luxembourg",525000,2020,0.05261350838298546
"Montenegro",351000,2020,0.03517588846176742
"Suriname",279000,2017,0.027960321597815127
"Malta",718000,2020,0.07195523622663534
"Maldives",555000,2020,0.0556199945762989
"Cape Verde",180000,2020,0.018038917159880728
"Brunei",1071000,2020,0.10733155710129032
"Belize",487000,2020,0.04880529253812174
"Bahamas",1794500,2020,0.17983798246336646
"Iceland",488000,2020,0.04890550874456553
"Vanuatu",82400,2020,0.008257815410967621
"New Caledonia",31000,2020,0.0031067023997572362
"Barbados",966000,2019,0.09680885542469322
"French Polynesia",89400,2020,0.008959328856074094
"Sao Tome and Principe",33400,2018,0.0033472212952223124
"Samoa",23900,2020,0.002395167334006385
"Curacao",1293000,2019,0.1295795549318099
"Saint Lucia",432500,2020,0.04334350928693563
"Guam",328000,2020,0.032870915713560434
"Kiribati",12000,2019,0.0012025944773253817
"Seychelles",124500,2020,0.012476917702250836
"Grenada",217000,2020,0.021746916798300656
"Micronesia",18000,2019,0.0018038917159880726
"Aruba",1951000,2019,0.19552181877181835
"Tonga",94000,2019,0.00942032340571549
"Saint Vincent and the Grenadines",392000,2019,0.03928475292596247
"Antigua and Barbuda",384500,2020,0.0385331313776341
"United States Virgin Islands",8612000,2020,0.863061969893849
"Andorra",5207000,2020,0.5218257869527719
"Cayman Islands",660000,2020,0.066142696252896
"Dominica",140000,2020,0.014030268902129453
"Bermuda",51400,2020,0.005151113011210386
"Saint Kitts and Nevis",301400,2020,0.030205164622155837
"American Samoa",900,2020,0.00009019458579940364
"Turks and Caicos Islands",370400,2020,0.03712008286677678
"Northern Mariana Islands",487000,2019,0.04880529253812174
"Sint Maarten",1952000,2019,0.1956220349782621
"Liechtenstein",58400,2020,0.005852626456316858
"British Virgin Islands",83000,2020,0.00831794513483389
"Monaco",159000,2020,0.015934376824561308
"Marshall Islands",6100,2019,0.0006113188593070691
"San Marino",1904000,2019,0.19081165706896056
"Palau",18400,2020,0.0018439781985655852
"Tuvalu",3600,2019,0.00036077834319761455
"Total",997842600,,100.00000000000003
